id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,,,,,,,,,,
189128,"Luxury Heated Room, Private Bathroom & Breakfast",Boroondara,-37.8175956501908,145.059128735775,Private room,60,1,,,,,,,,,,
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,Darebin,-37.6987887025485,145.001928043061,Private room,30,2,,,,,,,,,,
189406,Position Perfect - Richmond,Yarra,-37.8175762849931,144.99832692781,Entire home/apt,161,3,,,,,,,,,,
189434,PositionPerfect Carlton Paris Style,Melbourne,-37.7987002878348,144.96671247342,Entire home/apt,161,3,,,,,,,,,,
210568,"Carnarvon, Armadale/St KldaE/Caulfl",Glen Eira,-37.8689832968278,145.027749215884,Private room,58,3,,,,,,,,,,
213348,Large room in quiet Victorian home,Port Phillip,-37.8587420243114,144.986333147833,Private room,71,3,,,,,,,,,,
214565,Warm and inviting cottage in the North East,Banyule,-37.7136999322063,145.123801118655,Private room,30,1,,,,,,,,,,
215787,5 mins Melbourne CBD in Richmond.,Yarra,-37.8186084052155,144.98995523667,Entire home/apt,93,30,,,,,,,,,,
227028,Flinders Lane Architect Loft Style Apartment,Melbourne,-37.8157143512672,144.967482258809,Entire home/apt,220,2,,,,,,,,,,
227964,Bohemian Bungalow in Brunswick,Moreland,-37.7695722563566,144.970483592484,Private room,90,7,,,,,,,,,,
229430,ROOM IN MODERN TOWNHOUSE Melbourne,Boroondara,-37.8299472927007,145.051019570709,Private room,48,2,,,,,,,,,,
230790,Clarelee - Belgrave Accommodation,Yarra Ranges,-37.9051353014109,145.35260667802,Entire home/apt,140,1,,,,,,,,,,
232088,Melbourne 2  Bedrooms 2 Bathrooms FULL Kitchen,Moreland,-37.7100313406574,144.951569715719,Entire home/apt,78,4,,,,,,,,,,
232812,Parkland apartment on edge of CBD,Melbourne,-37.785697156398,144.956155411986,Entire home/apt,190,2,,,,,,,,,,
234407,Gorgeous Peace btw City and Airport,Moreland,-37.7080872115026,144.947552101944,Private room,61,1,,,,,,,,,,
240410,Beautifully Appointed Apt - Central,Melbourne,-37.8050680360479,144.951904446617,Entire home/apt,155,2,,,,,,,,,,
241263,Modern apartment with amazing views,Melbourne,-37.7812805349922,144.956180674558,Private room,90,1,,,,,,,,,,
244872,Cool spot near chapel st!,Stonnington,-37.8507651340572,145.010131499331,Private room,73,1,,,,,,,,,,
244952,Treehouse apartment in Fitzroy,Yarra,-37.8040305949865,144.979082866172,Entire home/apt,125,1,,,,,,,,,,
246337,"Walk MCG,CBD,,R'mond shop thru park",Melbourne,-37.8110405915648,144.989562454398,Private room,84,1,,,,,,,,,,
247006,Albert Park: Between St Kilda & CBD - Perfect spot,Port Phillip,-37.8450568342174,144.957099812443,Private room,91,2,,,,,,,,,,
247140,Self Contained Apartment (CBD Edge),Melbourne,-37.8170047538584,144.976704795383,Entire home/apt,226,3,,,,,,,,,,
248235,HUGE newly renovated home with pool,Glen Eira,-37.8639224376732,145.017367354561,Entire home/apt,419,4,,,,,,,,,,
252381,Elwood Village 1BR APT+BEACHSIDE+PARKING+WIFI,Port Phillip,-37.8860331165625,144.988229516681,Entire home/apt,129,3,,,,,,,,,,
256186,Collingwood 2 bedrm Warehouse Apt,Yarra,-37.8017603337528,144.984730547103,Entire home/apt,120,7,,,,,,,,,,
257149,Sunny 2BR Melbourne flat 7kms CBD,Darebin,-37.7629415520596,144.996398608617,Entire home/apt,129,2,,,,,,,,,,
257915,Central Apartments in Melbourne,Melbourne,-37.8252528980692,144.961453025662,Entire home/apt,700,2,,,,,,,,,,
261558,Victorian terrace in Nth Melbourne close to CBD!,Melbourne,-37.8041725012411,144.95326898411,Private room,125,2,,,,,,,,,,
262020,Deco luxury on Botanic Gardens!!,Melbourne,-37.8327517135125,144.986062283824,Entire home/apt,161,3,,,,,,,,,,
263871,In The Heart Of The City- Melbourne,Melbourne,-37.8169487240655,144.962950951436,Entire home/apt,125,7,,,,,,,,,,
267678,Stylish Sunny Apartment with Designer Finishes,Stonnington,-37.8530173827771,144.996281371872,Entire home/apt,145,3,,,,,,,,,,
268525,Home 20mins (CBD) near Box Hill,Whitehorse,-37.8129011002829,145.140806697533,Private room,40,18,,,,,,,,,,
268620,nice room,Melton,-37.7399384977166,144.738807646028,Private room,72,1,,,,,,,,,,
268849,"Unique, Intimately Styled South Yarra Sanctuary",Stonnington,-37.8369169749983,144.992853682259,Entire home/apt,115,1,,,,,,,,,,
277605,Angelus Retreat @ Mount Dandenong,Yarra Ranges,-37.9056004414896,145.395247978977,Entire home/apt,199,2,,,,,,,,,,
280698,Elwood Large 2BR Townhouse+STUDY+PARKING+WIFI+AC,Port Phillip,-37.8738375921128,144.988606633753,Entire home/apt,199,3,,,,,,,,,,
283257,sunlit studio down a quiet laneway,Yarra,-37.804401772604,144.98213135281,Entire home/apt,140,3,,,,,,,,,,
284210,Fitzroyalty - luscious living in the heart of it,Yarra,-37.7984970240828,144.978828533778,Entire home/apt,145,4,,,,,,,,,,
286460,Great Room in Fabulous Caulfield S,Glen Eira,-37.8992984504441,145.018550541153,Private room,55,14,,,,,,,,,,
289467,The Suite @ Angelus Retreat,Yarra Ranges,-37.9054566360408,145.394473632034,Entire home/apt,251,2,,,,,,,,,,
297350,"Best, west of Melbourne-Wifi & Spa1",Brimbank,-37.7848377699722,144.756249160815,Private room,46,1,,,,,,,,,,
300679,Comfy room in Oakleigh South Melbourne,Kingston,-37.9400042577568,145.096789305351,Private room,28,2,,,,,,,,,,
304910,Exclusive Brighton by the beach,Bayside,-37.9038940110782,144.999817703165,Private room,84,2,,,,,,,,,,
307615,Queen BR + Private Bathroom in Huge CBD Apartment,Melbourne,-37.8084679562505,144.96606133049,Private room,75,1,,,,,,,,,,
307630,Queen-bed Room in Huge CBD Warehouse Apartment,Melbourne,-37.8081547254714,144.96620507655,Private room,75,1,,,,,,,,,,
309093,3 Level Loft with Views close to City,Yarra,-37.8197278466613,145.00078264381,Entire home/apt,295,2,,,,,,,,,,
310594,Cosy nest in vibrant eclectic area,Yarra,-37.8052339239094,144.995179387239,Entire home/apt,125,2,,,,,,,,,,
313648,"(1) Stylish, East Melb 1bed apt",Melbourne,-37.8124472322508,144.985756144306,Entire home/apt,109,4,,,,,,,,,,
315513,"Best, west of Melbourne-Wifi & spa2",Brimbank,-37.7830955272347,144.757738049975,Private room,46,1,,,,,,,,,,
317239,Inner City Home-12 mins by train to Melbourne CBD,Hobsons Bay,-37.8298857565125,144.871225342875,Private room,158,3,,,,,,,,,,
317351,** SPECIAL ** Bright & Spacious StKildaEast **,Port Phillip,-37.8655902771859,145.004713963403,Entire home/apt,125,7,,,,,,,,,,
323280,Classic Victorian Armadale Home :) Victorian House,Stonnington,-37.86171034442,145.021033799465,Private room,60,1,,,,,,,,,,
331605,3 Bedroom Apartment MT111,Melbourne,-37.8234824874539,144.961795418272,Entire home/apt,357,1,,,,,,,,,,
334891,Attractive room in leafy Deepdene,Boroondara,-37.8128506301315,145.06378224334,Private room,65,1,,,,,,,,,,
344458,St Kilda Gardens Executive Living,Port Phillip,-37.871610358707,144.984477370754,Entire home/apt,174,3,,,,,,,,,,
353243,Resort Style Stop over,Frankston,-38.1489628274635,145.209152479508,Private room,100,1,,,,,,,,,,
357740,House in Pristine Coastal Village,Casey,-38.2244266446199,145.308932714617,Shared room,60,1,,,,,,,,,,
361613,"Walk CBD, MCG through gardens(1or2)",Melbourne,-37.8128063686519,144.988213003355,Private room,109,1,,,,,,,,,,
363060,SUNLIT Kitchen/Vegie Garden/CLEAN,Wyndham,-37.8454537998207,144.716379923007,Private room,71,3,,,,,,,,,,
363278,Fitzroy: Tiny stone cottage,Yarra,-37.8025565846877,144.982806535294,Private room,71,1,,,,,,,,,,
365832,ST KILDA EAST EXCEPTIONAL LARGE STUNNING HOME,Port Phillip,-37.8671119566373,144.993834538877,Entire home/apt,329,1,,,,,,,,,,
366848,Your Own Place in Central Melbourne,Melbourne,-37.8113253530454,144.972760803752,Entire home/apt,129,6,,,,,,,,,,
376421,A fantastic B&B in Heidelberg Melbourne,Banyule,-37.7530367454006,145.07013912055,Private room,174,1,,,,,,,,,,
381690,Renovated Art Deco fully furnished,Port Phillip,-37.8639306225444,144.99823953482,Entire home/apt,114,1,,,,,,,,,,
386252,"Room for rent, townhouse in Kew",Boroondara,-37.8088331431104,145.039694951891,Shared room,100,30,,,,,,,,,,
394600,"4/2 Pottery Court Brunswick, Melbourne",Moreland,-37.76910365548,144.953043912014,Entire home/apt,120,2,,,,,,,,,,
397285,Style in the Heart of Caulfield,Glen Eira,-37.8812868314439,145.022514102319,Entire home/apt,174,3,,,,,,,,,,
402105,Spacious Bayside Lifestyle,Glen Eira,-37.8816208153858,144.99831548104,Entire home/apt,221,3,,,,,,,,,,
403580,Heritage Listed House Close To Park,Melbourne,-37.7997331956887,144.971881707243,Private room,86,3,,,,,,,,,,
403876,Luxurious Self Contained Pool House,Stonnington,-37.8416742909213,145.035047492739,Entire home/apt,136,3,,,,,,,,,,
406997,Spacious Rm for you or couple 2/43,Stonnington,-37.8837418156182,145.060902486718,Private room,50,3,,,,,,,,,,
411059,Classic and Contemporary Apartment on Collins St,Melbourne,-37.8164467965995,144.960554578227,Entire home/apt,132,2,,,,,,,,,,
414093,Penthouse St Kilda Style,Port Phillip,-37.8705218331174,144.979640175309,Entire home/apt,246,3,,,,,,,,,,
415776,Expansive City Views POOL SPA GYM!!,Stonnington,-37.837896973732,144.996956557583,Private room,82,1,,,,,,,,,,
419490,Very Large 2 Bdrm Apt in Melbourne!,Moonee Valley,-37.784848191184,144.927508482819,Entire home/apt,150,7,,,,,,,,,,
432113,Split Level City Centre Apartment + free parking,Melbourne,-37.8269013581107,144.968054310832,Entire home/apt,150,6,,,,,,,,,,
433779,Room with private courtyard 7,Stonnington,-37.8834382095045,145.06114593604,Private room,46,3,,,,,,,,,,
437892,Will feel like U never left home.,Monash,-37.9064559311452,145.121556081861,Private room,48,21,,,,,,,,,,
438849,Grand Old Victorian Hawthorn Home,Boroondara,-37.8240644356662,145.056561135941,Entire home/apt,199,10,,,,,,,,,,
438899,Uber-Cool Loft - South Melbourne + Crossfit gym,Port Phillip,-37.8335875702574,144.96480335593,Entire home/apt,300,2,,,,,,,,,,
448006,Smart Modern St Kilda,Port Phillip,-37.8714796677482,144.984539507408,Entire home/apt,174,3,,,,,,,,,,
448017,Garden Views On Herbert,Port Phillip,-37.8712752388145,144.98422957376,Entire home/apt,174,3,,,,,,,,,,
448041,St Kilda Garden Views,Port Phillip,-37.8713334117259,144.982704043209,Entire home/apt,174,3,,,,,,,,,,
449585,Need Luxury Homebase in Melbourne 1,Boroondara,-37.8049145821901,145.053254282508,Private room,100,1,,,,,,,,,,
453940,Corner room - Private & Lovely Balwyn Nth Home,Boroondara,-37.7955927649696,145.078924761815,Private room,40,1,,,,,,,,,,
456950,St Kilda Bay Views,Port Phillip,-37.8539732054518,144.981977676322,Entire home/apt,291,5,,,,,,,,,,
458168,Smart Modern in St Kilda,Port Phillip,-37.8727377432402,144.983059820809,Entire home/apt,174,3,,,,,,,,,,
458182,Caulfield Executive Apartment,Glen Eira,-37.8819682543096,145.024013273636,Entire home/apt,174,3,,,,,,,,,,
464528,"BOUTIQUE STAYS - Zinc 501, Amazing Views",Port Phillip,-37.8441353397268,144.939125959497,Entire home/apt,325,5,,,,,,,,,,
464612,Point Cook Homestay with Private Bathroom,Wyndham,-37.9004212954146,144.724964251269,Private room,54,4,,,,,,,,,,
466494,"BOUTIQUE STAYS - Victorian Vogue, Pet Friendly",Yarra,-37.817239608117,145.008991603093,Entire home/apt,505,5,,,,,,,,,,
466732,"BOUTIQUE STAYS - Lalique, Pet Friendly",Port Phillip,-37.8878954550397,144.986013641999,Entire home/apt,285,5,,,,,,,,,,
467028,Carlton Victoria / own bathroom,Melbourne,-37.8012533516905,144.957471569715,Private room,96,2,,,,,,,,,,
467125,New apartment in Melbourne's west,Maribyrnong,-37.7814357745363,144.878040021939,Entire home/apt,115,4,,,,,,,,,,
475855,Northside in Preston + wifi,Darebin,-37.7324241690254,144.988093886252,Private room,53,1,,,,,,,,,,
479281,"BOUTIQUE STAYS - Brighton Rose, Pet Friendly",Bayside,-37.9088325080771,144.990771942079,Entire home/apt,335,5,,,,,,,,,,
479333,"BOUTIQUE STAYS - Clifton Park, Pet Friendly",Yarra,-37.7864281222533,145.001801778076,Entire home/apt,335,5,,,,,,,,,,
